,Player ID,PPG,RPG,APG,PIE
482,202066,3.0,0.5,0.5,6.5
483,1629640,22.9,4.9,3.5,12.1
484,1626196,11.2,2.4,2.9,7.5
485,1631110,7.5,4.0,1.5,5.7
486,1631104,8.0,1.0,2.0,9.8
487,203926,9.8,2.1,1.3,6.3
488,1629676,3.4,2.2,1.3,7.9
489,1631103,6.0,2.3,2.0,3.7
490,1628380,8.3,4.7,2.8,11.0
491,1630170,19.5,4.1,3.5,12.7
492,1627751,12.1,9.8,3.6,12.9
493,1631230,2.0,1.0,3.0,3.1
494,1629646,6.6,7.8,2.0,15.2
495,1628966,7.1,2.7,0.5,9.8
496,1630200,12.3,3.8,6.6,10.0
497,1629641,4.3,2.0,0.4,2.6
498,203476,3.9,2.1,1.7,7.8
499,1631160,2.3,1.0,1.5,1.8
