player_id,ppg,rpg,apg,pie
1631097,19.9,3.9,2.3,11.1
1629614,6.6,2.3,3.4,6.9
1630537,8.9,2.1,1.0,5.6
1630243,4.3,1.6,0.4,10.8
204456,3.8,2.3,3.3,7.1
1631112,,,,
1629052,2.0,1.6,0.3,3.1
201949,3.7,2.3,1.3,4.3
1630678,2.4,1.9,0.6,3.7
1630543,8.6,5.4,1.2,10.6
1630174,7.8,3.3,1.8,5.5
1627741,18.8,5.5,3.2,11.2
1630188,11.0,7.6,1.1,8.8
1628464,8.2,4.9,0.9,9.0
1626167,17.9,8.7,1.4,13.8
1629048,4.5,3.4,1.5,7.1
1630699,6.1,3.2,0.3,4.4
201588,5.5,1.8,2.6,5.4
1628975,9.2,2.4,3.1,7.0
204060,7.2,2.9,3.5,7.7
1626171,13.3,11.0,2.0,15.6
201572,15.8,6.4,1.0,11.3
1628960,10.8,2.8,2.7,8.9
1629670,5.8,4.1,0.8,6.0
1631260,,,1.0,9.1
201950,19.6,5.7,7.9,15.8
203114,20.1,5.4,5.4,12.2
202083,3.7,2.5,0.7,3.6
1626192,9.9,4.2,1.3,8.9
201586,4.3,3.3,0.3,8.7
203507,31.8,12.2,5.3,24.4
203648,,0.8,0.2,3.4
1630572,1.3,1.8,,2.8
1626163,2.0,1.2,0.6,6.5
1630552,4.2,3.2,0.7,8.8
1630235,,0.5,0.8,1.7
1628988,5.1,1.3,1.8,5.1
1627749,21.7,6.3,8.0,15.5
1629633,1.0,1.0,,-6.7
203200,6.2,1.2,1.2,3.6
1629027,27.4,3.2,9.3,13.5
1629631,15.0,3.9,0.9,6.3
203992,15.1,4.0,3.1,9.8
1631100,6.9,1.6,0.6,11.5
203991,10.8,12.0,0.6,13.8
1630168,8.3,5.7,1.0,11.8
1628381,12.4,7.9,1.1,9.5
1631213,1.4,0.2,,7.5
1630249,1.6,0.4,0.2,11.3
1630163,15.0,6.0,6.0,7.2
1630547,6.3,2.4,1.5,3.9
1626179,21.9,5.4,5.6,10.6
1630208,10.1,6.1,0.8,13.8
1631109,3.7,2.7,,12.7
1629667,9.9,5.1,2.4,9.0
1631121,3.2,0.4,0.2,10.8
1628372,10.2,3.6,6.2,10.6
1630177,4.1,2.1,2.2,10.3
1628998,,,,
1626162,18.5,4.8,1.3,8.9
202330,17.4,4.3,4.1,11.1
1630550,2.7,2.2,0.6,5.5
1630539,1.8,0.2,0.3,9.0
203486,9.1,8.8,4.2,11.5
1629023,14.6,4.4,1.5,6.8
1629216,9.8,2.2,2.9,6.4
203506,12.4,2.9,3.5,13.0
1631107,2.3,0.5,0.3,2.4
200768,13.0,4.8,5.8,9.9
1631288,3.0,,,27.6
1628389,18.2,9.1,3.5,12.6
1629639,19.6,6.4,2.6,13.5
1628997,8.1,4.4,1.8,6.2
203473,5.8,3.4,0.7,10.0
202710,22.1,6.5,6.1,16.4
1629312,0.3,0.7,,
1631115,,,,
1629622,15.5,3.9,1.9,8.8
2617,1.5,1.0,,4.6
1629130,6.5,2.4,1.4,5.6
1630209,5.3,5.3,0.9,12.7
1628371,11.9,6.8,1.4,10.8
